N1	0.65	1.0
N10	0.6	1.0
N11	0.24	1.0
N12	0.24	1.0
N2	0.11	1.0
N3	0.1	1.0
N4	0.26	1.0
N5	0.11	1.0
N6	0.09	1.0
N7	0.24	1.0
N8	0.11	1.0
N9	0.1	1.0
