PROBLEMA;SEMENTE;PSO;ES-1;ES-2;ES-3;ES-4;MEDIA PSO;MEDIA ES-1;MEDIA ES-2;MEDIA ES-3;MEDIA ES-4
17 ; 1;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. Solucao nao-factivel: 6.92886e-269;17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -8.59338e-42;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -8.59338e-42;
17 ; 2;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. Solucao nao-factivel: 2.78356e-261;17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -5.02536e-42;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -5.02536e-42;
17 ; 3;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. Solucao nao-factivel: 1.95543e-269;17 - Não está implementada. Solucao nao-factivel: 0;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -5.47378e-42;17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. 17 - Não está implementada. Solucao nao-factivel: -5.47378e-42;
18 ; 1;1.04367e+09 ; 1.53855e+08 ; 1.13826e+10 ; 1.54571e+06 ; 1.28087e+08 ; 
18 ; 2;7.6253e+08 ; 1.53162e+08 ; 2.07086e+10 ; 2.17635e+06 ; 2.74502e+08 ; 
18 ; 3;8.38189e+08 ; 1.40894e+08 ; 8.60019e+09 ; 3.4534e+06 ; 1.27259e+08 ; 
19 ; 1;-286.358 ; -285.93 ; -284.963 ; -287.481 ; -286.338 ; 
19 ; 2;-286.667 ; -286.197 ; -285.053 ; -286.386 ; -286.652 ; 
19 ; 3;-286.273 ; -285.963 ; -285 ; -286.036 ; -286.401 ; 
20 ; 1;1.52119e+12 ; 1.3101e+09 ; 3.65154e+12 ; 3.22052e+08 ; 9.04018e+09 ; 
20 ; 2;1.90938e+12 ; 1.19449e+09 ; 7.74034e+13 ; 1.42705e+09 ; 1.41662e+10 ; 
20 ; 3;1.3721e+12 ; 2.1115e+09 ; 2.09879e+13 ; 2.25375e+08 ; 4.48365e+09 ; 
21 ; 1;830.655 ; 1675.81 ; 2155.29 ; 568.476 ; 579.8 ; 
21 ; 2;702.164 ; 1694.89 ; 2242.62 ; 565.281 ; 578.373 ; 
21 ; 3;817.491 ; 591.18 ; 2050.52 ; 569.16 ; 573.182 ; 
22 ; 1;-nan ; -nan ; -nan ; -nan ; -nan ; 
22 ; 2;-nan ; -nan ; -nan ; -nan ; -nan ; 
22 ; 3;-nan ; -nan ; -nan ; -nan ; -nan ; 
