PROBLEMA;SEMENTE;DELTA;MEDIA_ESPERADA;DIMENSAO;PSO-PS;ES-PS3; MEDIA PSO-PS; MEDIA ES-PS 3
1 ; 1 ; 1;1;2;8.85664e-12 ; 
1 ; 2 ; 1;1;2;5.73178e-12 ; 
1 ; 3 ; 1;1;2;5.25858e-12 ; 
1 ; 4 ; 1;1;2;6.70009e-12 ; 
1 ; 5 ; 1;1;2;1.49763e-11 ; 
1 ; 6 ; 1;1;2;7.76047e-12 ; 
1 ; 7 ; 1;1;2;1.1758e-11 ; 
1 ; 8 ; 1;1;2;2.99356e-11 ; 
1 ; 9 ; 1;1;2;6.54163e-12 ; 
1 ; 10 ; 1;1;2;6.80414e-12 ; 
1 ; 11 ; 1;1;2;1.58181e-11 ; 
1 ; 12 ; 1;1;2;3.57928e-11 ; 
1 ; 13 ; 1;1;2;9.39247e-12 ; 
1 ; 14 ; 1;1;2;1.73526e-11 ; 
1 ; 15 ; 1;1;2;7.80152e-12 ; 
1 ; 16 ; 1;1;2;1.27164e-11 ; 
1 ; 17 ; 1;1;2;8.62008e-12 ; 
1 ; 18 ; 1;1;2;5.48487e-11 ; 
1 ; 19 ; 1;1;2;7.36248e-12 ; 
1 ; 20 ; 1;1;2;1.61821e-11 ; 
1 ; 21 ; 1;1;2;1.08571e-11 ; 
1 ; 22 ; 1;1;2;9.37125e-12 ; 
1 ; 23 ; 1;1;2;4.7707e-12 ; 
1 ; 24 ; 1;1;2;1.46114e-12 ; 
1 ; 25 ; 1;1;2;1.32797e-11 ; 
1 ; 26 ; 1;1;2;7.75533e-12 ; 
1 ; 27 ; 1;1;2;1.55082e-11 ; 
1 ; 28 ; 1;1;2;4.11914e-11 ; 
1 ; 29 ; 1;1;2;1.04383e-11 ; 
1 ; 30 ; 1;1;2;2.85716e-12 ; 
2 ; 1 ; 1;1;2;7.92622e-06 ; 
2 ; 2 ; 1;1;2;3.74718e-06 ; 
2 ; 3 ; 1;1;2;4.78769e-06 ; 
2 ; 4 ; 1;1;2;2.51229 ; 
2 ; 5 ; 1;1;2;2.22809e-05 ; 
2 ; 6 ; 1;1;2;4.46138e-06 ; 
2 ; 7 ; 1;1;2;6.96982 ; 
2 ; 8 ; 1;1;2;5.32579 ; 
2 ; 9 ; 1;1;2;8.82152e-07 ; 
2 ; 10 ; 1;1;2;2.46049e-06 ; 
2 ; 11 ; 1;1;2;5.20754e-06 ; 
