Dimensão;30
Delta Inicial;Infinito

Num Function; Seed; Valor da Função Objetivo
1;1;6.36586
1;2;26.8118
1;3;12.8431
2;1;1.29193
2;2;3.13379
2;3;1.21881
3;1;295.094
3;2;176.59
3;3;214.855
4;1;13.4806
4;2;11.0766
4;3;11.6927
5;1;277.837
5;2;725.717
5;3;218.069
6;1;-5665
6;2;-5665
6;3;-5665
7;1;0.3
7;2;0.3
7;3;0.3
8;1;-9823.65
8;2;-7627.11
8;3;-8922.39
9;1;63.055
9;2;59.5202
9;3;132.701
10;1;3.99832
10;2;3.33952
10;3;3.50545
11;1;-nan
11;2;-nan
11;3;-nan
